[10/25/2025, 10:29:04 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/26/2025, 7:18:45 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/26/2025, 7:18:45 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 127.0.0.1:6379
[10/26/2025, 7:18:45 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 127.0.0.1:6379
[10/26/2025, 7:18:45 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 127.0.0.1:6379
[10/26/2025, 7:18:45 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 127.0.0.1:6379
[10/26/2025, 7:18:45 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 127.0.0.1:6379
[10/26/2025, 7:18:45 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 127.0.0.1:6379
[10/26/2025, 7:18:45 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 127.0.0.1:6379
[10/26/2025, 7:18:46 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 127.0.0.1:6379
[10/26/2025, 7:18:46 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 127.0.0.1:6379
[10/26/2025, 7:18:46 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 127.0.0.1:6379
[10/26/2025, 7:18:47 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 127.0.0.1:6379
[10/26/2025, 7:18:47 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 127.0.0.1:6379
[10/26/2025, 7:27:59 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 12:11:29 AM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 12:11:29 AM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 127.0.0.1:6379
[10/27/2025, 11:09:31 PM] [INFO] [Financial_Api] Server is running on: localhost:5202
[10/27/2025, 11:10:25 PM] [INFO] [GET_PROJECT_BUDGET] Fetching budgets for project: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NjAwMjQyOTh9.omIzUBXZcACD1d-9kxYmKWM18nqaxqzO_U25C0ivSdk
[10/27/2025, 11:10:25 PM] [INFO] [GET_PROJECT_BUDGET] No budgets found for project: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NjAwMjQyOTh9.omIzUBXZcACD1d-9kxYmKWM18nqaxqzO_U25C0ivSdk
[10/27/2025, 11:13:05 PM] [ERROR] [SET_PROJECT_BUDGET] Project not found: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NjAwMjQyOTh9.omIzUBXZcACD1d-9kxYmKWM18nqaxqzO_U25C0ivSdk/
[10/27/2025, 11:13:12 PM] [INFO] [SET_PROJECT_BUDGET] Creating new budget for project: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NjAwMjQyOTh9.omIzUBXZcACD1d-9kxYmKWM18nqaxqzO_U25C0ivSdk
