[12/15/2024, 10:44:34 PM] [INFO] [STOP_SERVICE] Stopped process 739f3ab8-01a1-433f-aa85-4706e7a0ca52
[12/16/2024, 7:28:52 PM] [INFO] [STOP_SERVICE] Stopped process c7b11b91-e3a7-4d09-9eab-cb08b7229e52
[12/16/2024, 7:30:23 PM] [INFO] [STOP_SERVICE] Stopped process 70dddaf4-706f-4d4b-92a7-f13f1cc62437
[12/16/2024, 7:30:33 PM] [INFO] [STOP_SERVICE] Stopped process cfad8519-6375-4979-8ee3-1245ddd79df5
[12/16/2024, 9:15:53 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 0.0.0.0:6379
[12/16/2024, 9:15:53 PM] [INFO] [ProjectsPortal_Api] Server is running on: localhost:7070
[12/16/2024, 9:15:53 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 0.0.0.0:6379
[12/16/2024, 9:15:53 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 0.0.0.0:6379
[12/16/2024, 9:15:53 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 0.0.0.0:6379
[12/16/2024, 9:15:53 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 0.0.0.0:6379
[12/16/2024, 9:15:53 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 0.0.0.0:6379
[12/16/2024, 9:15:54 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 0.0.0.0:6379
[12/16/2024, 9:15:54 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 0.0.0.0:6379
[12/16/2024, 9:15:54 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 0.0.0.0:6379
[12/16/2024, 9:15:55 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 0.0.0.0:6379
[12/16/2024, 9:15:55 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 0.0.0.0:6379
[12/16/2024, 9:15:56 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 0.0.0.0:6379
[12/16/2024, 9:15:56 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 0.0.0.0:6379
[12/16/2024, 9:15:57 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 0.0.0.0:6379
[12/16/2024, 9:15:57 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 0.0.0.0:6379
[12/16/2024, 9:16:43 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 0.0.0.0:6379
[12/16/2024, 9:16:43 PM] [INFO] [ProjectsPortal_Api] Server is running on: localhost:7070
[12/16/2024, 9:16:43 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 0.0.0.0:6379
[12/16/2024, 9:16:43 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 0.0.0.0:6379
[12/16/2024, 9:16:43 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 0.0.0.0:6379
[12/16/2024, 9:16:43 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 0.0.0.0:6379
[12/16/2024, 9:16:43 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 0.0.0.0:6379
[12/16/2024, 9:16:44 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 0.0.0.0:6379
[12/16/2024, 9:16:44 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 0.0.0.0:6379
[12/16/2024, 9:16:44 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 0.0.0.0:6379
[12/16/2024, 9:16:45 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 0.0.0.0:6379
[12/16/2024, 9:16:45 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 0.0.0.0:6379
[12/16/2024, 9:16:46 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 0.0.0.0:6379
[12/16/2024, 9:16:46 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 0.0.0.0:6379
[12/16/2024, 9:16:47 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 0.0.0.0:6379
[12/16/2024, 9:16:47 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 0.0.0.0:6379
[12/16/2024, 9:16:48 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 0.0.0.0:6379
[12/16/2024, 9:16:48 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 0.0.0.0:6379
[12/16/2024, 9:16:49 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 0.0.0.0:6379
[12/16/2024, 9:16:49 PM] [ERROR] [REDIS_CONNECTION_ERROR] Error: connect ECONNREFUSED 0.0.0.0:6379
