[3/28/2025, 1:08:59 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/17/2025, 8:33:59 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/17/2025, 8:40:14 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/17/2025, 8:40:33 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/17/2025, 8:40:34 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/17/2025, 8:40:50 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/17/2025, 8:41:06 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/17/2025, 8:41:08 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/17/2025, 8:41:11 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/17/2025, 8:41:38 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/18/2025, 3:20:57 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/18/2025, 3:23:33 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/18/2025, 3:23:36 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/18/2025, 3:23:38 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/18/2025, 3:33:14 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/18/2025, 3:33:18 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/18/2025, 3:33:20 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/18/2025, 3:33:28 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/18/2025, 3:33:29 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/18/2025, 3:33:33 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/18/2025, 3:33:35 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/18/2025, 3:33:38 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/18/2025, 3:33:54 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/18/2025, 3:33:57 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/18/2025, 3:34:00 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/18/2025, 3:34:08 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/18/2025, 3:34:10 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/18/2025, 3:34:14 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/18/2025, 3:34:17 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/18/2025, 3:34:28 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/18/2025, 3:34:40 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/18/2025, 3:34:48 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/18/2025, 3:34:56 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/18/2025, 3:35:01 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/18/2025, 3:35:04 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/18/2025, 3:35:07 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/18/2025, 3:35:09 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/18/2025, 3:35:12 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/18/2025, 3:35:24 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/18/2025, 3:35:26 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/18/2025, 3:35:30 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/18/2025, 3:35:33 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/18/2025, 3:35:40 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/18/2025, 3:35:43 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/18/2025, 3:35:47 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/18/2025, 3:35:49 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/18/2025, 3:35:56 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/18/2025, 3:36:02 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/18/2025, 3:36:04 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/18/2025, 3:36:26 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/18/2025, 3:36:29 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/18/2025, 3:36:51 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/18/2025, 3:36:58 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/18/2025, 3:37:01 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/18/2025, 4:54:05 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/18/2025, 4:54:16 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/18/2025, 4:54:25 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/18/2025, 4:54:27 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/18/2025, 4:54:32 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/18/2025, 4:54:34 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/18/2025, 4:54:38 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/18/2025, 4:54:46 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/18/2025, 4:54:50 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/18/2025, 4:54:52 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/18/2025, 4:55:32 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/18/2025, 4:55:36 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/18/2025, 5:09:14 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/18/2025, 5:12:31 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 6:51:39 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 7:38:04 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 7:38:08 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 7:38:10 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 7:38:13 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 7:38:18 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 7:38:22 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 7:38:28 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 7:38:35 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 9:23:11 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 9:23:17 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 9:23:22 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 9:24:26 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 9:24:31 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 9:24:34 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 9:28:27 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 9:28:47 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 9:28:49 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 9:28:51 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 9:28:59 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 9:29:02 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 9:29:16 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 9:29:19 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 9:29:23 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 9:29:32 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 9:29:45 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 9:29:46 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 9:29:49 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 9:29:54 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 9:30:04 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 9:30:08 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 9:30:21 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 9:31:47 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 9:32:30 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 9:33:27 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 9:34:52 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 9:34:56 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 9:34:58 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 9:35:02 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 9:35:32 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 9:35:34 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 9:36:02 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 9:36:15 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 9:37:33 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 9:37:46 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 9:37:52 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 9:41:18 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 9:45:37 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 9:45:40 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 9:45:44 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 9:48:34 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 9:50:20 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 9:50:56 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 9:51:00 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 9:51:11 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 9:51:18 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 9:51:21 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 9:52:27 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 9:52:31 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 9:52:36 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 9:55:01 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 9:56:34 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 9:59:28 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 11:32:34 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 11:35:21 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 11:35:24 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 11:35:45 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 11:35:55 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 11:35:59 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 11:36:07 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/19/2025, 11:36:35 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/20/2025, 10:59:16 AM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/20/2025, 11:07:42 AM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/20/2025, 11:07:46 AM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/20/2025, 11:08:09 AM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/20/2025, 11:08:37 AM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/20/2025, 11:13:19 AM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/20/2025, 11:14:18 AM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/20/2025, 11:14:29 AM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/20/2025, 11:14:37 AM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/20/2025, 11:14:43 AM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/20/2025, 11:15:00 AM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/20/2025, 11:15:35 AM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/20/2025, 11:18:13 AM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/20/2025, 11:31:59 AM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/20/2025, 11:32:16 AM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/20/2025, 11:32:28 AM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/20/2025, 11:32:31 AM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/20/2025, 11:32:37 AM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/20/2025, 11:32:41 AM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/20/2025, 11:32:44 AM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/20/2025, 5:09:32 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/20/2025, 5:19:05 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/20/2025, 5:19:38 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/20/2025, 5:19:44 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/20/2025, 5:19:58 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/20/2025, 11:06:21 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/20/2025, 11:27:40 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/20/2025, 11:29:57 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[4/20/2025, 11:32:55 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[5/20/2025, 6:29:48 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[5/20/2025, 6:33:12 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[5/20/2025, 7:06:58 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[5/20/2025, 7:12:49 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[5/20/2025, 7:12:57 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[5/20/2025, 7:13:04 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[5/20/2025, 7:29:08 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[5/20/2025, 7:47:49 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[5/20/2025, 7:48:06 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[5/20/2025, 7:48:31 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[5/20/2025, 7:48:39 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[5/20/2025, 7:48:44 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[5/20/2025, 7:48:53 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[5/20/2025, 7:49:35 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[5/20/2025, 7:49:45 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[5/20/2025, 7:50:03 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[5/20/2025, 7:50:24 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[5/20/2025, 7:50:39 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[5/20/2025, 7:50:47 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[5/20/2025, 7:50:53 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[5/20/2025, 7:51:04 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[5/20/2025, 7:51:07 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[5/20/2025, 7:51:24 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[5/20/2025, 7:53:32 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[5/20/2025, 7:53:44 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[5/20/2025, 7:54:16 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[5/20/2025, 7:54:21 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[5/20/2025, 7:54:43 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[5/20/2025, 7:55:01 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[5/20/2025, 7:58:57 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[5/20/2025, 8:12:50 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[5/20/2025, 8:12:55 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[5/20/2025, 8:46:17 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[5/20/2025, 8:47:25 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[5/20/2025, 8:52:49 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[5/20/2025, 9:16:02 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[5/20/2025, 9:16:06 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[5/20/2025, 9:16:12 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[5/20/2025, 9:19:09 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[5/20/2025, 9:19:20 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[5/20/2025, 9:19:59 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[5/20/2025, 9:20:38 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[5/20/2025, 9:20:40 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[5/20/2025, 9:22:44 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[5/20/2025, 9:23:42 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[5/20/2025, 9:23:46 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[5/20/2025, 9:24:32 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[5/20/2025, 9:24:45 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[5/22/2025, 7:37:42 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[5/22/2025, 7:38:27 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[5/22/2025, 7:38:30 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
[5/22/2025, 7:39:06 PM] [INFO] [ProjectTasks_API] Api is runing on: localhost:4070
